Index,Admin2,FIPS,Province_State,Country_Region,Last_Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,lethality,Population,ConperCapita,DeathsPerCap,SqMiles,PopDensity
1,Alachua,12001,Florida,US,10/2/2020 4:23,29.67866525,-82.35928158,8352,61,0,8291,"Alachua, Florida, US",3104.336482,0.00730364,269043,0.031043365,0.00022673,875.02,307.4706864
2,Baker,12003,Florida,US,10/2/2020 4:23,30.33060121,-82.28467476,1492,13,0,1479,"Baker, Florida, US",5107.839781,0.008713137,29210,0.051078398,0.000445053,585.23,49.91200041
3,Bay,12005,Florida,US,10/2/2020 4:23,30.26548745,-85.62122584,6146,111,0,6035,"Bay, Florida, US",3517.930225,0.018060527,174705,0.035179302,0.000635357,758.46,230.3417451
4,Bradford,12007,Florida,US,10/2/2020 4:23,29.95079741,-82.16611613,1135,9,0,1126,"Bradford, Florida, US",4024.679976,0.007929515,28201,0.0402468,0.000319138,293.96,95.93482106
5,Brevard,12009,Florida,US,10/2/2020 4:23,28.29409504,-80.73091022,9154,299,0,8855,"Brevard, Florida, US",1520.744524,0.032663317,601942,0.015207445,0.000496726,1015.66,592.6609298
6,Broward,12011,Florida,US,10/2/2020 4:23,26.15184651,-80.48725556,77433,1406,0,76027,"Broward, Florida, US",3965.274086,0.018157633,1952778,0.039652741,0.00072,1209.78,1614.159599
7,Calhoun,12013,Florida,US,10/2/2020 4:23,30.40666734,-85.19394153,622,12,0,610,"Calhoun, Florida, US",4409.783765,0.019292605,14105,0.044097838,0.000850762,567.33,24.86207322
8,Charlotte,12015,Florida,US,10/2/2020 4:23,26.90131002,-81.92949121,3097,136,0,2961,"Charlotte, Florida, US",1639.405008,0.043913465,188910,0.01639405,0.00071992,680.28,277.6944787
9,Citrus,12017,Florida,US,10/2/2020 4:23,28.84804315,-82.47614748,2793,107,0,2686,"Citrus, Florida, US",1866.267532,0.038310061,149657,0.018662675,0.000714968,581.7,257.2752278
10,Clay,12019,Florida,US,10/2/2020 4:23,29.98319144,-81.85609986,5193,103,0,5090,"Clay, Florida, US",2368.507471,0.019834392,219252,0.023685075,0.000469779,604.36,362.7837713
11,Collier,12021,Florida,US,10/2/2020 4:23,26.11091986,-81.34687065,12789,224,0,12565,"Collier, Florida, US",3322.663951,0.017515052,384902,0.03322664,0.000581966,1998.32,192.6127947
12,Columbia,12023,Florida,US,10/2/2020 4:23,30.22509788,-82.62160164,3852,59,0,3793,"Columbia, Florida, US",5373.434143,0.015316719,71686,0.053734341,0.000823034,797.57,89.88051206
13,DeSoto,12027,Florida,US,10/2/2020 4:23,27.18677893,-81.80941373,1573,25,0,1548,"DeSoto, Florida, US",4139.364754,0.015893198,38001,0.041393648,0.000657877,637.06,59.65058236
14,Dixie,12029,Florida,US,10/2/2020 4:23,29.60631086,-83.15724673,835,9,0,826,"Dixie, Florida, US",4962.557946,0.010778443,16826,0.049625579,0.000534886,705.05,23.86497412
15,Duval,12031,Florida,US,10/2/2020 4:23,30.33225875,-81.66976468,30666,407,0,30259,"Duval, Florida, US",3201.862689,0.013272028,957755,0.032018627,0.000424952,762.19,1256.583004
16,Escambia,12033,Florida,US,10/2/2020 4:23,30.67652764,-87.37284571,12393,237,0,12156,"Escambia, Florida, US",3893.300996,0.019123699,318316,0.03893301,0.000744543,656.46,484.8977851
17,Flagler,12035,Florida,US,10/2/2020 4:23,29.45933576,-81.31508595,1762,26,0,1736,"Flagler, Florida, US",1531.095489,0.014755959,115081,0.015310955,0.000225928,485.46,237.0555762
18,Franklin,12037,Florida,US,10/2/2020 4:23,29.83791238,-84.82731662,628,4,0,624,"Franklin, Florida, US",5179.381443,0.006369427,12125,0.051793814,0.000329897,534.72,22.67541891
19,Gadsden,12039,Florida,US,10/2/2020 4:23,30.57796289,-84.61915825,2840,47,0,2793,"Gadsden, Florida, US",6219.886115,0.016549296,45660,0.062198861,0.001029347,516.33,88.43181686
20,Gilchrist,12041,Florida,US,10/2/2020 4:23,29.72856978,-82.79880657,513,13,0,500,"Gilchrist, Florida, US",2760.736196,0.025341131,18582,0.027607362,0.000699602,349.68,53.14001373
21,Glades,12043,Florida,US,10/2/2020 4:23,26.95635849,-81.18996211,545,4,0,541,"Glades, Florida, US",3946.129896,0.00733945,13811,0.039461299,0.000289624,806.01,17.13502314
22,Gulf,12045,Florida,US,10/2/2020 4:23,29.93543004,-85.2427099,879,14,0,865,"Gulf, Florida, US",6444.754014,0.01592719,13639,0.06444754,0.001026468,564.01,24.18219535
23,Hamilton,12047,Florida,US,10/2/2020 4:23,30.49673973,-82.94998918,861,8,0,853,"Hamilton, Florida, US",5967.563072,0.009291521,14428,0.059675631,0.000554477,513.79,28.0815119
24,Hardee,12049,Florida,US,10/2/2020 4:23,27.49293939,-81.80956574,1375,11,0,1364,"Hardee, Florida, US",5104.5031,0.008,26937,0.051045031,0.00040836,637.78,42.23556712
25,Hendry,12051,Florida,US,10/2/2020 4:23,26.55386945,-81.16469006,2077,42,0,2035,"Hendry, Florida, US",4942.649089,0.020221473,42022,0.049426491,0.000999476,1152.75,36.45369768
26,Hernando,12053,Florida,US,10/2/2020 4:23,28.55364461,-82.42700204,3194,132,0,3062,"Hernando, Florida, US",1647.070957,0.041327489,193920,0.01647071,0.000680693,472.54,410.3779574
27,Highlands,12055,Florida,US,10/2/2020 4:23,27.34254618,-81.34071957,2186,90,0,2096,"Highlands, Florida, US",2057.97347,0.041171089,106221,0.020579735,0.00084729,1016.61,104.4854959
28,Hillsborough,12057,Florida,US,10/2/2020 4:23,27.9276559,-82.32013172,42380,654,0,41726,"Hillsborough, Florida, US",2879.138677,0.015431807,1471968,0.028791387,0.000444303,1020.21,1442.808833
29,Holmes,12059,Florida,US,10/2/2020 4:23,30.86747479,-85.81319222,756,8,0,748,"Holmes, Florida, US",3853.800275,0.010582011,19617,0.038538003,0.00040781,478.78,40.97288943
30,Indian River,12061,Florida,US,10/2/2020 4:23,27.69308961,-80.60556721,3279,120,0,3159,"Indian River, Florida, US",2050.361737,0.036596523,159923,0.020503617,0.000750361,502.87,318.020562
31,Jackson,12063,Florida,US,10/2/2020 4:23,30.7954597,-85.21500423,2840,81,0,2759,"Jackson, Florida, US",6118.843452,0.028521127,46414,0.061188435,0.001745163,917.76,50.57313459
32,Jefferson,12065,Florida,US,10/2/2020 4:23,30.43669112,-83.89442308,562,9,0,553,"Jefferson, Florida, US",3944.967008,0.016014235,14246,0.03944967,0.000631756,598.09,23.81915765
33,Lafayette,12067,Florida,US,10/2/2020 4:23,29.98484137,-83.18166636,1233,12,0,1221,"Lafayette, Florida, US",14640.22797,0.00973236,8422,0.14640228,0.00142484,543.41,15.4984266
34,Lake,12069,Florida,US,10/2/2020 4:23,28.76202069,-81.7125123,7567,193,0,7374,"Lake, Florida, US",2061.190135,0.025505484,367118,0.020611901,0.000525717,938.38,391.2253032
35,Lee,12071,Florida,US,10/2/2020 4:23,26.58410348,-81.88399313,20586,477,0,20109,"Lee, Florida, US",2671.5046,0.023171087,770577,0.026715046,0.000619017,784.51,982.2398695
36,Leon,12073,Florida,US,10/2/2020 4:23,30.45955727,-84.27491114,10710,80,0,10630,"Leon, Florida, US",3648.043817,0.007469655,293582,0.036480438,0.000272496,666.85,440.2519307
37,Levy,12075,Florida,US,10/2/2020 4:23,29.31829741,-82.74007147,1046,10,0,1036,"Levy, Florida, US",2520.299737,0.009560229,41503,0.025202997,0.000240946,1118.2,37.11590055
38,Liberty,12077,Florida,US,10/2/2020 4:23,30.23766008,-84.8829258,518,8,0,510,"Liberty, Florida, US",6200.622456,0.015444015,8354,0.062006225,0.000957625,835.56,9.998085117
39,Madison,12079,Florida,US,10/2/2020 4:23,30.44396917,-83.47398594,1017,20,0,997,"Madison, Florida, US",5499.378143,0.019665683,18493,0.054993781,0.00108149,695.95,26.57231123
40,Manatee,12081,Florida,US,10/2/2020 4:23,27.47196942,-82.31831044,11619,291,0,11328,"Manatee, Florida, US",2881.317684,0.025045185,403253,0.028813177,0.000721631,742.93,542.787342
41,Marion,12083,Florida,US,10/2/2020 4:23,29.21227113,-82.05803627,9806,295,0,9511,"Marion, Florida, US",2682.320374,0.030083622,365579,0.026823204,0.000806939,1584.54,230.71617
42,Martin,12085,Florida,US,10/2/2020 4:23,27.0772071,-80.43109784,4942,143,0,4799,"Martin, Florida, US",3069.565217,0.028935654,161000,0.030695652,0.000888199,543.46,296.249954
43,Miami-Dade,12086,Florida,US,10/2/2020 4:23,25.6112362,-80.55170587,170882,3284,0,167598,"Miami-Dade, Florida, US",6289.502161,0.01921794,2716940,0.062895022,0.001208713,1897.71,1431.693989
44,Monroe,12087,Florida,US,10/2/2020 4:23,25.20904673,-81.07812416,1855,22,0,1833,"Monroe, Florida, US",2499.05696,0.011859838,74228,0.02499057,0.000296384,983.28,75.49019608
45,Nassau,12089,Florida,US,10/2/2020 4:23,30.61037141,-81.80297522,2139,46,0,2093,"Nassau, Florida, US",2413.540197,0.021505376,88625,0.024135402,0.000519041,648.64,136.6320301
46,Okaloosa,12091,Florida,US,10/2/2020 4:23,30.69143028,-86.59267105,5082,116,0,4966,"Okaloosa, Florida, US",2411.525211,0.022825659,210738,0.024115252,0.000550447,930.25,226.5391024
47,Okeechobee,12093,Florida,US,10/2/2020 4:23,27.3863362,-80.88944347,1576,28,0,1548,"Okeechobee, Florida, US",3737.431227,0.017766497,42168,0.037374312,0.000664011,768.91,54.84126881
48,Orange,12095,Florida,US,10/2/2020 4:23,28.51367621,-81.31799498,40485,470,0,40015,"Orange, Florida, US",2905.374566,0.011609238,1393452,0.029053746,0.000337292,903.43,1542.401736
49,Osceola,12097,Florida,US,10/2/2020 4:23,28.06312234,-81.14882926,12605,156,0,12449,"Osceola, Florida, US",3354.615157,0.012376041,375751,0.033546152,0.000415169,1327.45,283.0622622
50,Palm Beach,12099,Florida,US,10/2/2020 4:23,26.64676272,-80.46536002,46698,1383,0,45315,"Palm Beach, Florida, US",3119.918224,0.029615829,1496770,0.031199182,0.00092399,1969.76,759.8742994
51,Pasco,12101,Florida,US,10/2/2020 4:23,28.30810945,-82.40227529,9371,208,0,9163,"Pasco, Florida, US",1691.678085,0.022196137,553947,0.016916781,0.000375487,746.89,741.6714643
52,Pinellas,12103,Florida,US,10/2/2020 4:23,27.93130349,-82.72239666,22266,755,0,21511,"Pinellas, Florida, US",2283.701677,0.033908201,974996,0.022837017,0.000774362,273.8,3560.978817
53,Polk,12105,Florida,US,10/2/2020 4:23,27.95027105,-81.69732947,20120,531,0,19589,"Polk, Florida, US",2776.026281,0.02639165,724777,0.027760263,0.000732639,1797.84,403.1376541
54,Putnam,12107,Florida,US,10/2/2020 4:23,29.60779729,-81.74230285,2145,40,0,2105,"Putnam, Florida, US",2878.383275,0.018648019,74521,0.028783833,0.000536761,727.62,102.4174707
55,Santa Rosa,12113,Florida,US,10/2/2020 4:23,30.6934145,-87.02458128,5378,77,0,5301,"Santa Rosa, Florida, US",2917.862549,0.01431759,184313,0.029178625,0.000417768,1011.6,182.199486
56,Sarasota,12115,Florida,US,10/2/2020 4:23,27.18546175,-82.33174248,8233,261,0,7972,"Sarasota, Florida, US",1898.132992,0.031701688,433742,0.01898133,0.00060174,555.87,780.2939536
57,Seminole,12117,Florida,US,10/2/2020 4:23,28.7158582,-81.24060348,9107,216,0,8891,"Seminole, Florida, US",1930.160695,0.023718019,471826,0.019301607,0.000457796,309.22,1525.858612
58,St. Johns,12109,Florida,US,10/2/2020 4:23,29.90096506,-81.43589967,5423,70,0,5353,"St. Johns, Florida, US",2048.951155,0.012907985,264672,0.020489512,0.000264478,600.65,440.6426371
59,St. Lucie,12111,Florida,US,10/2/2020 4:23,27.37763908,-80.47106649,8120,291,0,7829,"St. Lucie, Florida, US",2473.37015,0.035837438,328297,0.024733701,0.000886393,571.93,574.0160509
60,Sumter,12119,Florida,US,10/2/2020 4:23,28.70181754,-82.0794267,2397,70,0,2327,"Sumter, Florida, US",1810.149524,0.029203171,132420,0.018101495,0.000528621,546.93,242.1150787
61,Suwannee,12121,Florida,US,10/2/2020 4:23,30.19746066,-82.9909967,2745,71,0,2674,"Suwannee, Florida, US",6180.066191,0.025865209,44417,0.061800662,0.001598487,688.55,64.50802411
62,Taylor,12123,Florida,US,10/2/2020 4:23,30.04848048,-83.60445406,1338,13,0,1325,"Taylor, Florida, US",6203.347397,0.009715994,21569,0.062033474,0.000602717,1043.3,20.67382344
63,Union,12125,Florida,US,10/2/2020 4:23,30.04412971,-82.37497443,980,16,0,964,"Union, Florida, US",6431.712279,0.016326531,15237,0.064317123,0.001050075,243.56,62.55953359
64,Volusia,12127,Florida,US,10/2/2020 4:23,29.05858895,-81.18263252,10991,252,0,10739,"Volusia, Florida, US",1986.502411,0.02292785,553284,0.019865024,0.000455462,1101.03,502.5149178
65,Wakulla,12129,Florida,US,10/2/2020 4:23,30.16548905,-84.39895211,1147,10,0,1137,"Wakulla, Florida, US",3399.626545,0.008718396,33739,0.033996265,0.000296393,606.42,55.63635764
66,Walton,12131,Florida,US,10/2/2020 4:23,30.64204028,-86.16935664,1989,25,0,1964,"Walton, Florida, US",2685.261438,0.01256913,74071,0.026852614,0.000337514,1037.62,71.38547831
67,Washington,12133,Florida,US,10/2/2020 4:23,30.61359259,-85.66002461,1084,23,0,1061,"Washington, Florida, US",4255.486201,0.021217712,25473,0.042554862,0.000902917,582.8,43.70796156
