"","FIPS","Admin2","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Combined_Key","Incident_Rate","population","lethality"
"1007",12001,"Alachua","Florida","US","2021-09-28 04:21:28",29.67866525,-82.35928158,38477,285,"Alachua, Florida, US",14301.4313697067,269043,0.00740702237700444
"1008",12003,"Baker","Florida","US","2021-09-28 04:21:28",30.33060121,-82.28467476,5914,62,"Baker, Florida, US",20246.4909277645,29210,0.0104835982414609
"1009",12005,"Bay","Florida","US","2021-09-28 04:21:28",30.26548745,-85.62122584,31777,394,"Bay, Florida, US",18188.9470822243,174705,0.012398904868301
"1010",12007,"Bradford","Florida","US","2021-09-28 04:21:28",29.95079741,-82.16611613,5260,58,"Bradford, Florida, US",18651.8208574164,28201,0.0110266159695817
"1011",12009,"Brevard","Florida","US","2021-09-28 04:21:28",28.29409504,-80.73091022,79224,914,"Brevard, Florida, US",13161.4009323157,601942,0.0115369080076744
"1012",12011,"Broward","Florida","US","2021-09-28 04:21:28",26.15184651,-80.48725556,349394,3079,"Broward, Florida, US",17892.1515912203,1952778,0.00881240089984373
"1013",12013,"Calhoun","Florida","US","2021-09-28 04:21:28",30.40666734,-85.19394153,2937,45,"Calhoun, Florida, US",20822.4034030486,14105,0.0153217568947906
"1014",12015,"Charlotte","Florida","US","2021-09-28 04:21:28",26.90131002,-81.92949121,22350,437,"Charlotte, Florida, US",11831.0306495156,188910,0.0195525727069351
"1015",12017,"Citrus","Florida","US","2021-09-28 04:21:28",28.84804315,-82.47614748,19865,463,"Citrus, Florida, US",13273.6858282606,149657,0.0233073244399698
"1016",12019,"Clay","Florida","US","2021-09-28 04:21:28",29.98319144,-81.85609986,32769,352,"Clay, Florida, US",14945.8157736303,219252,0.0107418596844579
"1017",12021,"Collier","Florida","US","2021-09-28 04:21:28",26.11091986,-81.34687065,56489,551,"Collier, Florida, US",14676.2032933058,384902,0.00975411141992246
"1018",12023,"Columbia","Florida","US","2021-09-28 04:21:28",30.22509788,-82.62160164,14622,170,"Columbia, Florida, US",20397.288173423,71686,0.0116263165093694
"1019",12027,"DeSoto","Florida","US","2021-09-28 04:21:28",27.18677893,-81.80941373,6716,97,"DeSoto, Florida, US",17673.2191258125,38001,0.0144431209053008
"1020",12029,"Dixie","Florida","US","2021-09-28 04:21:28",29.60631086,-83.15724673,2855,24,"Dixie, Florida, US",16967.7879472245,16826,0.00840630472854641
"1021",12031,"Duval","Florida","US","2021-09-28 04:21:28",30.33225875,-81.66976468,162195,1483,"Duval, Florida, US",16934.9155055312,957755,0.00914331514534973
"1022",12033,"Escambia","Florida","US","2021-09-28 04:21:28",30.67652764,-87.37284571,55875,706,"Escambia, Florida, US",17553.3118033652,318316,0.0126353467561521
"1023",12035,"Flagler","Florida","US","2021-09-28 04:21:28",29.45933576,-81.31508595,14032,114,"Flagler, Florida, US",12193.1509110974,115081,0.00812428734321551
"1024",12037,"Franklin","Florida","US","2021-09-28 04:21:28",29.83791238,-84.82731662,2226,20,"Franklin, Florida, US",18358.7628865979,12125,0.00898472596585804
"1025",12039,"Gadsden","Florida","US","2021-09-28 04:21:28",30.57796289,-84.61915825,8431,99,"Gadsden, Florida, US",18464.7393780114,45660,0.0117423793144348
"1026",12041,"Gilchrist","Florida","US","2021-09-28 04:21:28",29.72856978,-82.79880657,3056,44,"Gilchrist, Florida, US",16446.0230330427,18582,0.0143979057591623
"1027",12043,"Glades","Florida","US","2021-09-28 04:21:28",26.95635849,-81.18996211,1389,19,"Glades, Florida, US",10057.2007819854,13811,0.013678905687545
"1028",12045,"Gulf","Florida","US","2021-09-28 04:21:28",29.93543004,-85.2427099,2955,45,"Gulf, Florida, US",21665.8112764865,13639,0.0152284263959391
"1029",12047,"Hamilton","Florida","US","2021-09-28 04:21:28",30.49673973,-82.94998918,2664,25,"Hamilton, Florida, US",18464.0975880233,14428,0.00938438438438438
"1030",12049,"Hardee","Florida","US","2021-09-28 04:21:28",27.49293939,-81.80956574,5867,45,"Hardee, Florida, US",21780.4506812191,26937,0.00767001874893472
"1031",12051,"Hendry","Florida","US","2021-09-28 04:21:28",26.55386945,-81.16469006,7830,87,"Hendry, Florida, US",18633.0969492171,42022,0.0111111111111111
"1032",12053,"Hernando","Florida","US","2021-09-28 04:21:28",28.55364461,-82.42700204,27760,482,"Hernando, Florida, US",14315.1815181518,193920,0.0173631123919308
"1033",12055,"Highlands","Florida","US","2021-09-28 04:21:28",27.34254618,-81.34071957,15417,366,"Highlands, Florida, US",14514.0791368938,106221,0.0237400272426542
"1034",12057,"Hillsborough","Florida","US","2021-09-28 04:21:28",27.9276559,-82.32013172,234084,1832,"Hillsborough, Florida, US",15902.7913650297,1471968,0.00782625040583722
"1035",12059,"Holmes","Florida","US","2021-09-28 04:21:28",30.86747479,-85.81319222,3754,49,"Holmes, Florida, US",19136.4632716521,19617,0.0130527437400107
"1036",12061,"Indian River","Florida","US","2021-09-28 04:21:28",27.69308961,-80.60556721,21676,306,"Indian River, Florida, US",13554.0228735079,159923,0.0141169957556745
"1037",12063,"Jackson","Florida","US","2021-09-28 04:21:28",30.7954597,-85.21500423,9873,158,"Jackson, Florida, US",21271.5990864825,46414,0.0160032411627671
"1038",12065,"Jefferson","Florida","US","2021-09-28 04:21:28",30.43669112,-83.89442308,2426,28,"Jefferson, Florida, US",17029.3415695634,14246,0.0115416323165705
"1039",12067,"Lafayette","Florida","US","2021-09-28 04:21:28",29.98484137,-83.18166636,2155,26,"Lafayette, Florida, US",25587.7463785324,8422,0.0120649651972158
"1040",12069,"Lake","Florida","US","2021-09-28 04:21:28",28.76202069,-81.7125123,52496,663,"Lake, Florida, US",14299.4895374239,367118,0.0126295336787565
"1041",12071,"Lee","Florida","US","2021-09-28 04:21:28",26.58410348,-81.88399313,123627,1009,"Lee, Florida, US",16043.4323889761,770577,0.00816164753654137
"1042",12073,"Leon","Florida","US","2021-09-28 04:21:28",30.45955727,-84.27491114,50031,332,"Leon, Florida, US",17041.5761184269,293582,0.00663588575083448
"1043",12075,"Levy","Florida","US","2021-09-28 04:21:28",29.31829741,-82.74007147,6781,56,"Levy, Florida, US",16338.5779341252,41503,0.00825836897212801
"1044",12077,"Liberty","Florida","US","2021-09-28 04:21:28",30.23766008,-84.8829258,1775,16,"Liberty, Florida, US",21247.306679435,8354,0.00901408450704225
"1045",12079,"Madison","Florida","US","2021-09-28 04:21:28",30.44396917,-83.47398594,3523,45,"Madison, Florida, US",19050.4515221976,18493,0.0127732046551235
"1046",12081,"Manatee","Florida","US","2021-09-28 04:21:28",27.47196942,-82.31831044,63668,689,"Manatee, Florida, US",15788.5992168688,403253,0.0108217628950179
"1047",12083,"Marion","Florida","US","2021-09-28 04:21:28",29.21227113,-82.05803627,55171,996,"Marion, Florida, US",15091.4029525766,365579,0.0180529626071668
"1048",12085,"Martin","Florida","US","2021-09-28 04:21:28",27.0772071,-80.43109784,19686,335,"Martin, Florida, US",12227.3291925466,161000,0.0170171695621254
"1049",12086,"Miami-Dade","Florida","US","2021-09-28 04:21:28",25.6112362,-80.55170587,663737,6472,"Miami-Dade, Florida, US",24429.5788644578,2716940,0.00975085011081196
"1050",12087,"Monroe","Florida","US","2021-09-28 04:21:28",25.20904673,-81.07812416,10543,52,"Monroe, Florida, US",14203.5350541575,74228,0.00493218249075216
"1051",12089,"Nassau","Florida","US","2021-09-28 04:21:28",30.61037141,-81.80297522,15137,127,"Nassau, Florida, US",17079.8307475317,88625,0.00839003765607452
"1052",12091,"Okaloosa","Florida","US","2021-09-28 04:21:28",30.69143028,-86.59267105,33617,367,"Okaloosa, Florida, US",15952.0352285777,210738,0.0109170955171491
"1053",12093,"Okeechobee","Florida","US","2021-09-28 04:21:28",27.3863362,-80.88944347,7270,89,"Okeechobee, Florida, US",17240.5615632707,42168,0.012242090784044
"1054",12095,"Orange","Florida","US","2021-09-28 04:21:28",28.51367621,-81.31799498,223253,1310,"Orange, Florida, US",16021.578066557,1393452,0.0058677822918393
"1055",12097,"Osceola","Florida","US","2021-09-28 04:21:28",28.06312234,-81.14882926,70213,529,"Osceola, Florida, US",18686.0447477186,375751,0.00753421731018472
"1056",12099,"Palm Beach","Florida","US","2021-09-28 04:21:28",26.64676272,-80.46536002,220394,2883,"Palm Beach, Florida, US",14724.6403923114,1496770,0.0130811183607539
"1057",12101,"Pasco","Florida","US","2021-09-28 04:21:28",28.30810945,-82.40227529,76920,802,"Pasco, Florida, US",13885.8049596803,553947,0.0104264170566823
"1058",12103,"Pinellas","Florida","US","2021-09-28 04:21:28",27.93130349,-82.72239666,132039,1671,"Pinellas, Florida, US",13542.517097506,974996,0.012655351827869
"1059",12105,"Polk","Florida","US","2021-09-28 04:21:28",27.95027105,-81.69732947,124944,1387,"Polk, Florida, US",17238.9576380045,724777,0.0111009732360097
"1060",12107,"Putnam","Florida","US","2021-09-28 04:21:28",29.60779729,-81.74230285,12443,160,"Putnam, Florida, US",16697.3067994257,74521,0.0128586353773206
"1061",12113,"Santa Rosa","Florida","US","2021-09-28 04:21:28",30.6934145,-87.02458128,31705,291,"Santa Rosa, Florida, US",17201.7166450549,184313,0.00917836303422173
"1062",12115,"Sarasota","Florida","US","2021-09-28 04:21:28",27.18546175,-82.33174248,55274,844,"Sarasota, Florida, US",12743.5203415855,433742,0.0152693852444187
"1063",12117,"Seminole","Florida","US","2021-09-28 04:21:28",28.7158582,-81.24060348,60324,516,"Seminole, Florida, US",12785.2216707006,471826,0.00855380942908295
"1064",12109,"St. Johns","Florida","US","2021-09-28 04:21:28",29.90096506,-81.43589967,39419,221,"St. Johns, Florida, US",14893.5285938822,264672,0.00560643344580025
"1065",12111,"St. Lucie","Florida","US","2021-09-28 04:21:28",27.37763908,-80.47106649,46439,657,"St. Lucie, Florida, US",14145.4231991154,328297,0.0141475914640711
"1066",12119,"Sumter","Florida","US","2021-09-28 04:21:28",28.70181754,-82.0794267,14101,284,"Sumter, Florida, US",10648.6935508231,132420,0.0201404155733636
"1067",12121,"Suwannee","Florida","US","2021-09-28 04:21:28",30.19746066,-82.9909967,9012,140,"Suwannee, Florida, US",20289.5287840241,44417,0.0155348424323125
"1068",12123,"Taylor","Florida","US","2021-09-28 04:21:28",30.04848048,-83.60445406,4428,48,"Taylor, Florida, US",20529.4635819927,21569,0.010840108401084
"1070",12125,"Union","Florida","US","2021-09-28 04:21:28",30.04412971,-82.37497443,3015,74,"Union, Florida, US",19787.3597164796,15237,0.0245439469320066
"1071",12127,"Volusia","Florida","US","2021-09-28 04:21:28",29.05858895,-81.18263252,73353,846,"Volusia, Florida, US",13257.7482811721,553284,0.0115332706228784
"1072",12129,"Wakulla","Florida","US","2021-09-28 04:21:28",30.16548905,-84.39895211,6252,56,"Wakulla, Florida, US",18530.4840096031,33739,0.00895713371721049
"1073",12131,"Walton","Florida","US","2021-09-28 04:21:28",30.64204028,-86.16935664,12460,89,"Walton, Florida, US",16821.6981004712,74071,0.00714285714285714
"1074",12133,"Washington","Florida","US","2021-09-28 04:21:28",30.61359259,-85.66002461,4479,52,"Washington, Florida, US",17583.3235190201,25473,0.0116097343156955
